code, system, display
0000000145, HPNSRVCODE, PEDIATRIC TRANSPLANT HEPATOLOGY
0000000146, HPNSRVCODE, ANATOMIC AND CLINICAL PATHOLOGY
0000000147, HPNSRVCODE, PEDIATRIC PATHOLOGY
0000000148, HPNSRVCODE, RADIOISOTOPIC PATHOLOGY
0000000149, HPNSRVCODE, PEDIATRIC EMERGENCY MEDICINE
0000000150, HPNSRVCODE, PEDIATRICS
0000000151, HPNSRVCODE, PEDIATRIC CARDIOLOGY
0000000152, HPNSRVCODE, PEDIATRIC HEMATOLOGY - ONCOLOGY
0000000153, HPNSRVCODE, PEDIATRIC SURGERY
0000000154, HPNSRVCODE, PEDIATRIC NEPHROLOGY
0000000155, HPNSRVCODE, PEDIATRIC NEONATAL - PERINATAL MEDICINE
0000000156, HPNSRVCODE, PEDIATRIC ENDOCRINOLOGY
0000000157, HPNSRVCODE, PEDIATRIC PULMONOLOGY
0000000158, HPNSRVCODE, PREFERRED PHYSICIANS AND CHILDREN PROG
0000000159, HPNSRVCODE, MEDICAID OBSTETRICAL & MATERNAL SVC PROG
0000000160, HPNSRVCODE, PHYSICAL MEDICINE & REHABILITATION
0000000161, HPNSRVCODE, PEDIATRIC CRITICAL CARE
0000000162, HPNSRVCODE, OSTEOPATHIC MANIPULATIVE MEDICINE
0000000163, HPNSRVCODE, PEDIATRIC GASTROENTOLOGY
0000000164, HPNSRVCODE, CRITICAL CARE MED - ANESTHESIOLOGIST
0000000165, HPNSRVCODE, CRITICAL CARE MEDICINE - INTERNAL
0000000166, HPNSRVCODE, CRITICAL CARE MEDICINE - OBSTETRICS
0000000167, HPNSRVCODE, CRITICAL CARE MEDICINE - SURGERY
0000000169, HPNSRVCODE, MEDICAID OBSTERICAL & MATERNAL SERVICES PRGM (MOMS): HEALTH SUPPORTIVE S
0000000170, HPNSRVCODE, PLASTIC SURGERY
0000000171, HPNSRVCODE, CLINICAL MOLECULAR GENETICS
0000000180, HPNSRVCODE, CLINICAL BIOCHEMICAL GENETICS
0000000181, HPNSRVCODE, AEROSPACE
0000000182, HPNSRVCODE, GENERAL PREVENTIVE MEDICINE
0000000183, HPNSRVCODE, OCCUPATIONAL MEDICINE
0000000184, HPNSRVCODE, PUBLIC HEALTH - PREVENTIVE MEDICINE
0000000185, HPNSRVCODE, AEROSPACE MEDICINE
0000000186, HPNSRVCODE, T.B. DIRECTLY OBSERVED THERAPY/PHYSICIAN
0000000187, HPNSRVCODE, MEDICAL GENETICS
0000000188, HPNSRVCODE, CLINICAL GENETICS
0000000189, HPNSRVCODE, MOLECULAR GENETIC PATHOLOGY
0000000190, HPNSRVCODE, PAIN MANAGEMENT-PSYCHIATRY & NEUROLOGY
0000000191, HPNSRVCODE, CHILD PSYCHIATRY
0000000192, HPNSRVCODE, PSYCHIATRY
0000000193, HPNSRVCODE, CHILD NEUROLOGY
0000000194, HPNSRVCODE, NEUROLOGY
0000000195, HPNSRVCODE, PSYCHIATRY & NEUROLOGY
0000000196, HPNSRVCODE, CLOZAPINE CASE MANAGER - PSYCH
0000000197, HPNSRVCODE, GERIATRIC PSYCHIATRY
0000000198, HPNSRVCODE, ADDICTION PSYCHIATRY
0000000199, HPNSRVCODE, NERODEVELOPMENTAL DISABILITIES
0000000200, HPNSRVCODE, RADIOLOGY
0000000201, HPNSRVCODE, DIAGNOSTIC RADIOLOGY
0000000202, HPNSRVCODE, DIAGNOSTIC ROENTGENOLOGY
0000000205, HPNSRVCODE, THERAPEUTIC RADIOLOGY
0000000206, HPNSRVCODE, RADIOLOGICAL PHYSICS
0000000207, HPNSRVCODE, THERAPEUTIC RADIOLOGICAL PHYSICS
0000000208, HPNSRVCODE, DIAGNOSTIC RADIOLOGICAL PHYSICS
0000000210, HPNSRVCODE, GENERAL SURGERY
0000000211, HPNSRVCODE, HOSPITALIST
0000000220, HPNSRVCODE, THORACIC SURGERY
0000000230, HPNSRVCODE, UROLOGY
0000000231, HPNSRVCODE, PEDIATRIC UROLOGY
0000000240, HPNSRVCODE, VASCULAR NEUROLOGY
0000000241, HPNSRVCODE, ONCOLOGY
0000000242, HPNSRVCODE, GYNECOLOGIC ONCOLOGY
0000000243, HPNSRVCODE, VASCULAR MEDICINE
0000000244, HPNSRVCODE, RADIOLOGIST ONCOLOGY
0000000245, HPNSRVCODE, PEDIATRIC RADIOLOGY
0000000246, HPNSRVCODE, VASCULAR&INTERVENTIONAL RADIOLOGY
0000000247, HPNSRVCODE, MANAGED CARE - PHYSICIAN ENHANCED FEE
0000000248, HPNSRVCODE, MANAGED CARE - DENTAL ENHANCED FEE
0000000249, HPNSRVCODE, HIV PRIMARY CARE SERVICES
0000000250, HPNSRVCODE, EMERGENCY MEDICINE
0000000252, HPNSRVCODE, PRIMARY CARE INITIATIVE IN UNDERSERVED AREAS
0000000253, HPNSRVCODE, SPECIALSTS PRIMARY CARE INIT - UNDERSRVD AREA
0000000254, HPNSRVCODE, SPECIALISTS IN PHYSICIANS CASE MGMT PROGRAM
0000000270, HPNSRVCODE, CHILD HEALTH ASSURANCE PROGRAM
0000000280, HPNSRVCODE, CHIROPRACTIC
0000000281, HPNSRVCODE, CLINICAL SOCIAL WORK
0000000282, HPNSRVCODE, CERTIFIED DRUG AND ALCOHOL SERVICES
0000000283, HPNSRVCODE, COUNSELING SERVICES
0000000290, HPNSRVCODE, ACUPUNCTURIST
0000000300, HPNSRVCODE, PHYSICAL THERAPY SERVICES
0000000301, HPNSRVCODE, OCCUPATIONAL THERAPY SERVICES
0000000302, HPNSRVCODE, SPEECH/LANGUAGE THERAPY SERVICE
0000000303, HPNSRVCODE, AIDS/HIV SERVICES
0000000304, HPNSRVCODE, MEDICAL REHAB
0000000305, HPNSRVCODE, PEDIATRIC SPECIALTY - ALL EXCEPT PRIMARY CARE
0000000306, HPNSRVCODE, SCHOOL SUPPORTIVE HEALTH CARE (ELEM & HS USE FOR SCHOOL BASED HLTH CTRS)
0000000307, HPNSRVCODE, DURABLE MEDICAL EQUIPMENT (OTHER THAN ORTHOTIC AND PROSTHETIC)
0000000308, HPNSRVCODE, HIV PRIMARY CARE SERVICES AND CLINIC (HOSPITAL BASED/CLINIC BASED)
0000000309, HPNSRVCODE, MEDICALLY SUPERVISED SUBSTANCE ABUSE
0000000310, HPNSRVCODE, OMH ADULT CLINIC (STATE OPR)
0000000311, HPNSRVCODE, OMH CHILD CLINIC(STATE OPR)
0000000312, HPNSRVCODE, OMH CONTINUING DAY TRTMT (STATE OPR)
0000000313, HPNSRVCODE, OMH PARTIAL HOSPITALIZATION (STATE OPR)
0000000314, HPNSRVCODE, OMH INTEN PSYCH REHAB TRTMT (STATE OPR)
0000000315, HPNSRVCODE, OMH ADULT CLINIC
0000000316, HPNSRVCODE, OMH CHILD CLINIC
0000000317, HPNSRVCODE, OMH CONTINUING DAY TREATMENT
0000000318, HPNSRVCODE, OMH PARTIAL HOSPITALIZATION
0000000319, HPNSRVCODE, OMH INTENSIVE PSYCH REHAB TREATMENT
0000000320, HPNSRVCODE, CLOZAPINE CASE MANAGER - CLINIC
0000000321, HPNSRVCODE, COMPREHENSIVE SPECIALTY CLINIC SERVICES
0000000322, HPNSRVCODE, OMH COMPREHENSIVE OUTPATIENT PROGRAM (COPS) CLINIC
0000000323, HPNSRVCODE, OMH COMP OUTPAT PROG (COPS) CONTINUING DAY TRTMT
0000000324, HPNSRVCODE, PRE-SCHOOL SUPPORTIVE HEALTH CARE
0000000325, HPNSRVCODE, CLN SP CD EARLY INTERVENTION
0000000326, HPNSRVCODE, OMH/CR ADULT (VOLUNTARY)
0000000327, HPNSRVCODE, OMH/CR CHILDREN (VOLUNTARY)
0000000328, HPNSRVCODE, OMH FAMILY BASED TREATMENT
0000000329, HPNSRVCODE, OMH/CR ADULT (STATE OPR)
0000000330, HPNSRVCODE, OMH/CR CHILDREN (STATE OPR)
0000000331, HPNSRVCODE, OMH TEACHING FAMILY HOME
0000000332, HPNSRVCODE, OMR/DD CR (STATE OPR)
0000000350, HPNSRVCODE, PPCP ASSOCIATED DENTAL CLINIC - ORAL SURGERY
0000000351, HPNSRVCODE, PPCP ASSOCIATED DENTAL CLINIC - GENERAL DENTISTRY
0000000352, HPNSRVCODE, PPCP ASSOCIATED COPS
0000000353, HPNSRVCODE, PPCP ASSOCIATED OMH CLINICS
0000000354, HPNSRVCODE, PPCP ASSOCIATED PSYCHIATRY, GENERAL
0000000355, HPNSRVCODE, AIDS DAY HEALTH CARE SERVICES
0000000356, HPNSRVCODE, HOME & COMMUNITY BASED SERVICES (HCBS) WAIVER
0000000357, HPNSRVCODE, OUTPATIENT CHEMICAL DEPENDENCE WITHDRAWL
0000000358, HPNSRVCODE, TBI SERVICES
0000000359, HPNSRVCODE, RISPERDAL CONSTA ADMINISTRATION
0000000365, HPNSRVCODE, MENTAL HEALTH RESIDENTIAL (NON-INPATIENT)
0000000371, HPNSRVCODE, CASE MANAGEMENT
0000000375, HPNSRVCODE, MENTAL HEALTH OUTPATIENT (NON-RESIDENTIAL)
0000000376, HPNSRVCODE, MENTAL HEALTH PRACTITIONER
0000000400, HPNSRVCODE, MICROBIOLOGY
0000000401, HPNSRVCODE, FQ OUT-OF-STATE (NON-CMMA)
0000000402, HPNSRVCODE, FQ PRIMARY
0000000403, HPNSRVCODE, FQ SECONDARY
0000000404, HPNSRVCODE, FQ AUTHORIZED
0000000410, HPNSRVCODE, BACTERIOLOGY
0000000411, HPNSRVCODE, BACTERIOLOGY - GENERAL
0000000412, HPNSRVCODE, BACTERIOLOGY - LIMITED
0000000413, HPNSRVCODE, BACTERIOLOGY - AEROBES ONLY
0000000414, HPNSRVCODE, BACTERIOLOGY - NEISSERIA GONORRHOEAE SCREENG
0000000415, HPNSRVCODE, BACTEROLOGY - GC SMEARS ONLY
0000000416, HPNSRVCODE, BACTERIOLOGY-RESTRICTED (DENTAL)
0000000419, HPNSRVCODE, MYCOBACTERIOLOGY - SMEARS AND CULTURE
0000000420, HPNSRVCODE, MYCOBACTERIOLOGY - GENERAL
0000000421, HPNSRVCODE, MYCOBACTERIOLOGY - LIMITED
0000000422, HPNSRVCODE, MYCOBACTERIOLOGY - SMEARS ONLY
0000000423, HPNSRVCODE, DIAGNOSTIC IMMUNOLOGY - COMPREHENSIVE
0000000424, HPNSRVCODE, DIAGNOSTIC IMMUNOLOGY - OTHER
0000000427, HPNSRVCODE, DIAGNOSTIC IMMUNOLOGY - GENERAL/LIMITED
0000000429, HPNSRVCODE, DIAGNOSTIC IMMUNOLOGY - SPECIAL
0000000430, HPNSRVCODE, HUMAN IMMUNODEFICIENCY VIRUS - RESTRICTED A
0000000431, HPNSRVCODE, HUMAN IMMUNODEFICIENCY VIRUS - RESTRICTED B
0000000432, HPNSRVCODE, HUMAN IMMUNODEFICIENCY VIRUS - COMPREHENSIVE
0000000433, HPNSRVCODE, SEROLOGY - ROUTINE
0000000434, HPNSRVCODE, SEROLOGY - LIMITED
0000000435, HPNSRVCODE, CELLULAR IMMUNOLOGY - LIMITED I
0000000436, HPNSRVCODE, CELLULAR IMMUNOLOGY - LIMITED II
0000000437, HPNSRVCODE, SEROLGY - OTHER
0000000438, HPNSRVCODE, CELLULAR IMMUNOLOGY - GENERAL
0000000439, HPNSRVCODE, CELLULAR IMMUNOLOGY - LIMITED III
0000000440, HPNSRVCODE, VIROLOGY - GENERAL I OR GENERAL II
0000000441, HPNSRVCODE, VIROLOGY - LIMITED
0000000442, HPNSRVCODE, VIROLOGY - RESTRICTED
0000000450, HPNSRVCODE, MYCOLOGY - GENERAL
0000000451, HPNSRVCODE, MYCOLOGY - LIMITED(YEAST ONLY)
0000000460, HPNSRVCODE, PARASITOLOGY
0000000461, HPNSRVCODE, PARASITOLOGY - STOOL
0000000462, HPNSRVCODE, PARASITOLOGY - OTHER
0000000463, HPNSRVCODE, PARASITOLOGY - BLOOD
0000000470, HPNSRVCODE, URINE PREGNANCY TESTING
0000000480, HPNSRVCODE, HEMATOLOGY
0000000481, HPNSRVCODE, HEMATOLOGY - COMPREHENSIVE
0000000482, HPNSRVCODE, HEMATOLOGY - GENERAL
0000000483, HPNSRVCODE, HEMATOLOGY - COAGULATION ONLY
0000000484, HPNSRVCODE, HEMATOLOGY - LIMITED
0000000485, HPNSRVCODE, HEMATOLOGY - OTHER
0000000486, HPNSRVCODE, CYTOHEMATOLOGY - LIMITED/DIAGNOSTIC
0000000490, HPNSRVCODE, IMMUNOHEMATOLOGY
0000000491, HPNSRVCODE, BLOOD SERVICES - DIAGNOSTIC IMMUNOHEMATOLOGY
0000000492, HPNSRVCODE, IMMUNOHEMATOLOGY SPC 492
0000000493, HPNSRVCODE, IMMUNOHEMATOLOGY SPC 493
0000000510, HPNSRVCODE, CLINICAL CHEMISTRY - GENERAL
0000000511, HPNSRVCODE, CLINICAL CHEMISTRY - LIMITED
0000000512, HPNSRVCODE, TOXICOLOGY - ERYTHROCYTE PROTOPORPHYRIN-HEMAT
0000000513, HPNSRVCODE, TOXICOLOGY - ERYTHROCYTE PROTOPORHYRIN-EXTRCT
0000000514, HPNSRVCODE, TOXICOLOGY - DRUG ANALYSIS-QUAL (OR FORENSIC)
0000000515, HPNSRVCODE, TOXICOLOGY - BLOOD LEAD
0000000516, HPNSRVCODE, ENDOCRINOLOGY
0000000517, HPNSRVCODE, CHEMLIMIT
0000000518, HPNSRVCODE, QUALITATIVE TOXICOLOGY - REHABILITATION PROGS
0000000519, HPNSRVCODE, CHEM RESERV
0000000520, HPNSRVCODE, CHEM ALL
0000000521, HPNSRVCODE, BLOOD PH AND GASES
0000000522, HPNSRVCODE, CHEM IMD
0000000523, HPNSRVCODE, THERAPEUTIC SUBSTANCE MONITORING/QUAN TOXICOL
0000000524, HPNSRVCODE, URINALYSIS
0000000530, HPNSRVCODE, PATHOLOGY SPC 530
0000000531, HPNSRVCODE, HISTOPATHOLOGY - GENERAL/ORAL/DERMATOPATHALGY
0000000532, HPNSRVCODE, PATHOLOGY SPC 532
0000000533, HPNSRVCODE, PATHOLOGY SPC 533
0000000540, HPNSRVCODE, CYTOPATHOLOGY
0000000550, HPNSRVCODE, ONCOFETAL ANTIGEN - GENERAL
0000000551, HPNSRVCODE, ONCOFETAL ANTIGEN - LIMITED
0000000552, HPNSRVCODE, ONCOFETAL ANTIGEN - GENERAL, SERA ONLY
0000000553, HPNSRVCODE, ONCOFETAL ANTIGEN - GENL, AMNIOTIC FLUID ONLY
0000000560, HPNSRVCODE, GENETIC TESTING
0000000561, HPNSRVCODE, BLOOD TRANSFUSION COLLECTION
0000000562, HPNSRVCODE, BLOOD TRANSFUSION
0000000570, HPNSRVCODE, MISCELLANEOUS
0000000571, HPNSRVCODE, CYTOGENETICS - GENERAL
0000000572, HPNSRVCODE, CYTOGENETICS - LIMITED
0000000573, HPNSRVCODE, CYTOGENETICS - HEMATOLOGICAL DISORDERS
0000000574, HPNSRVCODE, MISCELLANEOUS HIS
0000000575, HPNSRVCODE, MISCELLANEOUS LIMITED HIS
0000000576, HPNSRVCODE, MISCELLANEOUS MISCELLANEOUS
0000000579, HPNSRVCODE, NURSE: MEDICALLY FRAGILE CHILDREN
0000000580, HPNSRVCODE, HISTOCOMPATIBILITY - LIMITED
0000000585, HPNSRVCODE, MISCELLANEOUS CLINIC CHEM
0000000590, HPNSRVCODE, MISCELLANEOUS SPECIALTY TEST
0000000599, HPNSRVCODE, ALL LABORATORIES
0000000600, HPNSRVCODE, SPORTS MEDICINE - EMERGENCY
0000000601, HPNSRVCODE, SPORTS MEDICINE - FAMILY MEDICINE
0000000602, HPNSRVCODE, SPORTS MEDICINE - INTERNAL
0000000603, HPNSRVCODE, SPORTS MEDICINE - PEDIATRICS
0000000604, HPNSRVCODE, SPORTS MEDICINE - ORTHOPEDIC
0000000615, HPNSRVCODE, PERSONAL EMERGENCY RESPONSE SYSTEM (PERS)
0000000616, HPNSRVCODE, MENTAL HEALTH INPATIENT
0000000620, HPNSRVCODE, GERIATRICS - FAMILY MEDICINE
0000000621, HPNSRVCODE, GERIATRICS - INTERNAL
0000000630, HPNSRVCODE, PAIN MANAGEMENT
0000000640, HPNSRVCODE, AUDIOLOGIST
0000000650, HPNSRVCODE, GENERAL VASCULARY SURGERY
0000000651, HPNSRVCODE, CARDIO-THORACIC
0000000652, HPNSRVCODE, INTERVENTION CARDIOLOGY
0000000653, HPNSRVCODE, CLINICAL CARDIAC ELECTROPHYSIOLOGY
0000000655, HPNSRVCODE, AIDS SKILLED NURSING FACILITY
0000000659, HPNSRVCODE, VENT SKILLED NURSING FACILITY
0000000660, HPNSRVCODE, INSTITUTIONAL LONG TERM CARE
0000000661, HPNSRVCODE, SOCIAL AND ENVIRONMENTAL SUPPORTS
0000000662, HPNSRVCODE, SOCIAL DAY CARE
0000000663, HPNSRVCODE, NURSING HOME CARE
0000000664, HPNSRVCODE, ADULT DAY HEALTH CARE
0000000665, HPNSRVCODE, NON-INSTITUTIONAL LONG TERM CARE
0000000666, HPNSRVCODE, ASSISTED LIVING PROGRAM
0000000667, HPNSRVCODE, HOME DELIVERED MEALS/CONGREGATE MEALS
0000000668, HPNSRVCODE, HOME CARE - HOME HEALTH AIDE
0000000669, HPNSRVCODE, HOSPICE CARE
0000000670, HPNSRVCODE, TRANSPORTATION EMERGENCY AMBULANCE ONLY
0000000671, HPNSRVCODE, OTHER TRANSPORTATION SVC NON-EMERGENT
0000000672, HPNSRVCODE, PARALEVEL1 PARAPROFESSIONAL SERVICES: LEVEL 1 HMMAKER/HOUSKP
0000000673, HPNSRVCODE, PARALEVEL2 PARAPROFESSIONAL SERVICES: LEVEL 2 PERSONAL CARE
0000000674, HPNSRVCODE, RESPIRATORY THERAPY
0000000675, HPNSRVCODE, CONSUMER DIRECTED PERSONAL ASSIST (LVL 1)
0000000676, HPNSRVCODE, CONSUMER DIRECTED PERSONAL ASSIST (LVL 2)
0000000680, HPNSRVCODE, NURSING SERVICE
0000000711, HPNSRVCODE, PRESCRIPTION FOOTWEAR
0000000714, HPNSRVCODE, LOW VISION SPECIALIST
0000000715, HPNSRVCODE, OPTICIAN CENTER, OPTICIAN ESTABLISHMENT & CONTACT LENS PRIVILEGE
0000000716, HPNSRVCODE, OPTOMETRIST/DIAGNOSTIC PHARMACEUTICALS
0000000730, HPNSRVCODE, INBORN METABOLIC DISEASE CENTER
0000000738, HPNSRVCODE, PORTABLE X-RAY COMPANIES
0000000739, HPNSRVCODE, INDEPENDENT PHYSIOLOGICAL LABS
0000000740, HPNSRVCODE, REGIONAL PERINATAL TRANSPORTATION PROV
0000000741, HPNSRVCODE, TRANSPLANT SURGERY
0000000749, HPNSRVCODE, ALCOHOLISM & SUBSTANCE ABUSE GENERAL OUTPATIENT
0000000750, HPNSRVCODE, METHADONE MAINTENANCE (PHYSICIAN)
0000000751, HPNSRVCODE, METHADONE MAINTENANCE PREFERRED PROV
0000000754, HPNSRVCODE, ALCOHOLISM & SUBSTANCE ABUSE MEDICALLY MONITORED WITHDRAWAL
0000000760, HPNSRVCODE, CLINIC PHARMACY (EMEVS USE ONLY)
0000000762, HPNSRVCODE, HOME CARE SERVICES AGENCY LIMITED LICENSE
0000000775, HPNSRVCODE, ALL SPECIALITIES
0000000776, HPNSRVCODE, GENERAL PRACTICE ONLY - NO SPEC
0000000777, HPNSRVCODE, ALL PHYSICIAN
0000000778, HPNSRVCODE, PODIATRIST
0000000779, HPNSRVCODE, NURSE PRAC
0000000780, HPNSRVCODE, CLINICAL PSYCHOLOGY SERVICES
0000000781, HPNSRVCODE, SOCIAL WORK
0000000782, HPNSRVCODE, NURSE MIDWIVES
0000000790, HPNSRVCODE, RESPITE
0000000791, HPNSRVCODE, S/HMO (ELDERPLAN)
0000000798, HPNSRVCODE, NON-INSTITUTIONAL LONG TERM CARE HOME HLTH CARE
0000000799, HPNSRVCODE, NO SPECIALTY REQUIRED
0000000800, HPNSRVCODE, GENERAL DENTIST
0000000801, HPNSRVCODE, ORTHODONTURE
0000000802, HPNSRVCODE, ENDODONTIST
0000000803, HPNSRVCODE, ORAL PATHOLOGIST
0000000804, HPNSRVCODE, PEDODONTIST
0000000805, HPNSRVCODE, PROSTHODONTIST
0000000806, HPNSRVCODE, PERIODONTIST
0000000807, HPNSRVCODE, PUBLIC HEALTH
0000000808, HPNSRVCODE, ORAL SURGEON
0000000809, HPNSRVCODE, DENTAL ANESTHESIOLOGIST
0000000810, HPNSRVCODE, PARENTERAL CONSCIOUS SEDATION
0000000811, HPNSRVCODE, MAXILLOFACIAL SURGERY
0000000815, HPNSRVCODE, DENTIST - FAMILY
0000000816, HPNSRVCODE, ASSERTIVE COMMUNITY TREATMENT
0000000817, HPNSRVCODE, ASSISTIVE TECHNOLOGY
0000000818, HPNSRVCODE, COMMUNITY INTEGRATION COUNSELING
0000000819, HPNSRVCODE, COMMUNITY TRANSITIONAL SERVICES
0000000820, HPNSRVCODE, ENVIRONMENTAL MODIFICATIONS
0000000821, HPNSRVCODE, FREESTANDING BIRTHING CENTERS
0000000822, HPNSRVCODE, INDEPENDENT LIVING SKILLS
0000000823, HPNSRVCODE, URGENT CARE
0000000824, HPNSRVCODE, MOBILE MENTAL HEALTH SERVICE
0000000825, HPNSRVCODE, MOVING ASSISTANCE
0000000826, HPNSRVCODE, PALLIATIVE CARE PROVIDER
0000000827, HPNSRVCODE, PEER DELIVERED SERVICES
0000000828, HPNSRVCODE, PEER MENTORING
0000000829, HPNSRVCODE, PROS (PERSONALIZED RECOVERY ORIENTED SERVICES)
0000000830, HPNSRVCODE, POSITIVE BEHAVIORAL INTERVENTION
0000000831, HPNSRVCODE, SOCIAL DAY CARE TRANSPORTATION
0000000832, HPNSRVCODE, STRUCTURED DAY PROGRAM
0000000833, HPNSRVCODE, TELEHEALTH
0000000834, HPNSRVCODE, HOME AND COMMUNITY SUPPORT SERVICES
0000000851, HPNSRVCODE, OTHER VISION CARE
0000000852, HPNSRVCODE, PCCM ENHANCEMENT
0000000853, HPNSRVCODE, PCCM QUALITY ENHANCEMENT
0000000854, HPNSRVCODE, HABILITATION SUPPORT SERVICES
0000000899, HPNSRVCODE, HOSPITAL INPATIENT
0000000900, HPNSRVCODE, HMO CO-PAYMENT
0000000901, HPNSRVCODE, EMERGENCY ROOM
0000000902, HPNSRVCODE, ENDOCRINE
0000000903, HPNSRVCODE, DIABETES
0000000904, HPNSRVCODE, OBSTETRICS
0000000905, HPNSRVCODE, GYNECOLOGY
0000000906, HPNSRVCODE, FAMILY PLANNING
0000000907, HPNSRVCODE, ABORTION
0000000908, HPNSRVCODE, CHILD HEALTH ASSURANCE PROGRAM (CHAP)
0000000909, HPNSRVCODE, NUTRITION PROGRAM
0000000910, HPNSRVCODE, ORAL SURGERY - CLINIC SPECIALTY
0000000911, HPNSRVCODE, GENERAL DENTISTRY
0000000912, HPNSRVCODE, ORTHODONTIC
0000000913, HPNSRVCODE, HEMODIALYSIS
0000000914, HPNSRVCODE, GENERAL MEDICINE
0000000915, HPNSRVCODE, ALLERGY
0000000916, HPNSRVCODE, ARTHRITIS
0000000917, HPNSRVCODE, RHEUMATOLOGY
